Model;Scenario;Region;Variable;Unit;2015;2016;2017;2018;2019;2020
Reference;IEA-WEI2020;USA;Investment|Energy Efficiency;billion US$2019;43,5926;43,5098;41,0235;39,6146;38,8687;30,0839
Reference;IEA-WEI2020;CHN;Investment|Energy Efficiency;billion US$2019;43,3514;50,4353;48,2902;49,4376;48,7392;44,6984
Reference;IEA-WEI2020;IND;Investment|Energy Efficiency;billion US$2019;13,2044;15,3621;14,7087;15,0582;14,8455;13,6147
Reference;IEA-WEI2020;RUS;Investment|Energy Efficiency;billion US$2019;3,9067;3,0928;4,1509;4,1509;4,2323;5,5346
Reference;IEA-WEI2020;JPN;Investment|Energy Efficiency;billion US$2019;6,8505;7,9699;7,6309;7,8122;7,7019;7,0633
Reference;IEA-WEI2020;EUR;Investment|Energy Efficiency;billion US$2019;65,9599;73,7394;69,5186;68,6083;66,291;57,7667
Reference;IEA-WEI2020;USA;Investment|Energy Demand|Renewables and other end-use;billion US$2019;1,2431;1,2431;1,326;1,8233;1,7404;1,7404
Reference;IEA-WEI2020;CHN;Investment|Energy Demand|Renewables and other end-use;billion US$2019;9,0295;7,9819;7,6825;7,6326;7,6326;6,8345
Reference;IEA-WEI2020;IND;Investment|Energy Demand|Renewables and other end-use;billion US$2019;2,7503;2,4312;2,34;2,3248;2,3248;2,0817
Reference;IEA-WEI2020;RUS;Investment|Energy Demand|Renewables and other end-use;billion US$2019;0,0814;0,3256;0,3256;0,1628;0,1628;0,1628
Reference;IEA-WEI2020;JPN;Investment|Energy Demand|Renewables and other end-use;billion US$2019;1,4269;1,2613;1,214;1,2061;1,2061;1,08
Reference;IEA-WEI2020;EUR;Investment|Energy Demand|Renewables and other end-use;billion US$2019;8,276;8,3588;8,3588;8,7726;9,4347;8,5243
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Transmission and Distribution;billion US$2019;55,2077;57,5322;58,1964;62,3473;67,7435;61,4341
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Transmission and Distribution;billion US$2019;75,5859;80,4376;77,295;74,5384;63,1261;58,1642
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Transmission and Distribution;billion US$2019;15,867;16,8855;16,2258;15,6472;13,2515;12,2099
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Transmission and Distribution;billion US$2019;5,6471;5,488;6,0448;5,6471;5,2494;4,6926
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Transmission and Distribution;billion US$2019;14,6984;15,6418;15,0307;14,4947;12,2754;11,3105
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Transmission and Distribution;billion US$2019;40,8166;39,2096;37,924;38,5668;38,6472;34,7905
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Battery storage;billion US$2019;0,3321;0,3321;0,3321;0,4981;0,6642;0,5811
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Battery storage;billion US$2019;0,4411;0,7718;0,827;1,4886;1,1026;0,9372
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Battery storage;billion US$2019;0,0926;0,162;0,1736;0,3125;0,2315;0,1967
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Battery storage;billion US$2019;0;0;0;0;0;0
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Battery storage;billion US$2019;0,0858;0,1501;0,1608;0,2895;0,2144;0,1823
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Battery storage;billion US$2019;0,241;0,5624;0,7231;1,0445;0,8838;0,7231
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Extraction|Oil;billion US$2019;97,6374;78,7908;91,6186;97,8197;92,0442;59,1539
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Extraction|Oil;billion US$2019;38,1855;33,406;34,7141;37,9843;38,3364;26,8657
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Extraction|Oil;billion US$2019;6,0557;5,2978;5,5052;6,0238;6,0797;4,2605
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Extraction|Oil;billion US$2019;43,9453;34,5851;33,3952;31,3328;28,9531;20,6241
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Extraction|Oil;billion US$2019;0;0;0;0;0;0
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Extraction|Oil;billion US$2019;19,6223;13,7197;14,5572;15,3948;16,0728;10,9678
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Extraction|Coal;billion US$2019;3,8966;3,806;2,8092;1,6311;1,9936;1,4499
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Extraction|Coal;billion US$2019;60,4158;47,8146;45,7844;46,6245;54,9553;47,3945
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Extraction|Coal;billion US$2019;7,8857;6,241;5,976;6,0856;7,173;6,1861
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Extraction|Coal;billion US$2019;6,7725;6,45;4,9987;2,4187;1,5319;1,29
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Extraction|Coal;billion US$2019;0,5471;0,433;0,4146;0,4222;0,4976;0,4292
